,train_result,test_list
1226,214437,221269
1227,215961,217209
1228,213203,212765
1229,203415,204403
1230,207551,210032
1231,211612,211098
1232,215836,215442
1233,217539,218652
1234,213576,215884
1235,206365,206604
1236,210270,209835
1237,201688,204763
1238,210446,209684
1239,206934,200445
1240,205555,206638
1241,205984,204035
1242,210643,212256
1243,215435,214241
1244,201978,202741
1245,206444,202921
1246,208251,208899
1247,205171,207140
1248,203582,204079
1249,209064,211777
1250,208091,209461
1251,205249,205461
1252,205799,206062
1253,202641,201741
1254,203507,204094
1255,205321,206671
1256,207622,207705
1257,201401,202597
1258,202910,203995
1259,203128,205003
1260,212191,211121
1261,203363,203384
1262,205700,203174
1263,215707,211876
1264,208790,208870
1265,208613,210381
1266,214673,218524
1267,216597,217950
1268,221688,221867
1269,208350,209826
1270,214156,213408
1271,207860,207936
1272,209171,209321
1273,210912,212586
1274,213761,215534
1275,206945,207242
1276,210534,211081
1277,208201,210717
1278,215404,213079
1279,214532,215339
1280,209579,211998
1281,211401,212209
1282,206091,206396
1283,210828,212272
1284,215482,215927
1285,215891,216044
1286,209863,210830
1287,214650,213791
1288,218170,216987
1289,217802,221341
1290,204248,206148
1291,200260,201905
1292,204749,206074
1293,211739,211822
1294,215573,215674
1295,213443,212864
1296,213816,214387
1297,215175,215751
1298,211462,212307
1299,205040,207995
1300,199801,201301
1301,200470,202176
1302,214355,213769
1303,208776,207703
1304,211383,211335
1305,220904,218833
1306,205578,208621
1307,208664,207205
1308,214184,213846
1309,207538,207965
1310,205444,205600
1311,207404,208609
1312,206019,206199
1313,204563,204160
1314,201861,201809
1315,202007,205696
1316,212611,213835
1317,207071,206292
1318,205047,204223
1319,199215,201200
1320,195780,195823
1321,193898,194816
1322,197289,200237
1323,198125,197489
1324,204515,203384
1325,207610,205891
1326,207733,207597
1327,201691,202400
1328,209068,209586
1329,206908,206333
1330,202199,202883
1331,209025,209072
1332,210371,211345
1333,209197,206204
1334,212791,218317
1335,213698,213134
1336,196907,198245
1337,200218,197333
1338,201260,202310
1339,207502,207631
1340,203693,202290
1341,212203,209726
1342,211038,212743
1343,206784,206481
1344,205542,205448
1345,204552,204310
1346,204449,205236
1347,201560,201677
1348,212627,216903
1349,207250,209268
1350,197535,197599
1351,202718,203807
1352,201060,201270
1353,205512,208246
1354,207108,208122
1355,200893,201791
1356,207480,207900
1357,207039,205473
1358,207769,210357
1359,206739,207610
1360,194256,197181
1361,208194,207849
1362,223895,225639
1363,203771,203904
1364,205225,207146
1365,200913,203675
1366,196042,196302
1367,210123,212726
1368,201345,202446
